iter	Passed	Remaining
0	17	17015
1	27	13905
2	40	13430
3	53	13363
4	65	13077
5	76	12669
6	88	12551
7	100	12481
8	113	12533
9	126	12485
10	138	12453
11	150	12383
12	161	12277
13	175	12395
14	190	12506
15	203	12513
16	215	12434
17	225	12303
18	236	12218
19	247	12151
20	258	12048
21	269	11992
22	280	11929
23	292	11883
24	302	11813
25	314	11763
26	325	11745
27	337	11714
28	351	11759
29	365	11808
30	377	11796
31	388	11759
32	400	11738
33	412	11708
34	428	11815
35	439	11764
36	449	11700
37	461	11674
38	475	11705
39	485	11654
40	496	11606
41	508	11601
42	519	11554
43	530	11518
44	543	11543
45	556	11531
46	570	11577
47	584	11600
48	595	11556
49	606	11519
50	618	11511
51	630	11491
52	641	11453
53	651	11408
54	661	11372
55	674	11361
56	684	11332
57	695	11300
58	706	11271
59	718	11260
60	729	11221
61	740	11208
62	752	11185
63	762	11145
64	774	11144
65	786	11135
66	798	11120
67	810	11106
68	821	11087
69	832	11066
70	844	11050
71	856	11043
72	870	11055
73	887	11110
74	920	11348
75	933	11353
76	946	11349
77	960	11351
78	973	11349
79	983	11313
80	994	11282
81	1005	11261
82	1016	11232
83	1027	11209
84	1041	11208
85	1052	11185
86	1063	11157
87	1075	11145
88	1086	11120
89	1100	11128
90	1113	11126
91	1126	11115
92	1140	11123
93	1153	11116
94	1165	11102
95	1180	11114
96	1222	11376
97	1245	11467
98	1257	11446
99	1271	11440
100	1283	11424
101	1296	11412
102	1308	11396
103	1321	11385
104	1332	11359
105	1344	11339
106	1356	11319
107	1368	11301
108	1379	11279
109	1394	11284
110	1407	11269
111	1419	11256
112	1432	11245
113	1468	11414
114	1516	11673
115	1528	11649
116	1542	11643
117	1555	11627
118	1583	11720
119	1619	11872
120	1661	12067
121	1711	12313
122	1722	12283
123	1736	12268
124	1748	12242
125	1760	12214
126	1771	12178
127	1783	12150
128	1795	12121
129	1806	12088
130	1817	12058
131	1829	12029
132	1840	11997
133	1851	11963
134	1862	11932
135	1873	11903
136	1887	11886
137	1897	11854
138	1908	11823
139	1920	11794
140	1931	11764
141	1942	11735
142	1953	11705
143	1963	11673
144	1974	11642
145	1984	11610
146	1995	11582
147	2005	11547
148	2018	11525
149	2031	11510
150	2042	11485
151	2053	11455
152	2064	11428
153	2076	11406
154	2088	11386
155	2133	11542
156	2206	11845
157	2256	12024
158	2288	12105
159	2307	12112
160	2323	12107
161	2334	12076
162	2346	12049
163	2359	12025
164	2374	12014
165	2387	11994
166	2399	11968
167	2410	11935
168	2423	11914
169	2433	11883
170	2444	11852
171	2455	11821
172	2466	11788
173	2476	11756
174	2487	11727
175	2498	11696
176	2508	11663
177	2519	11635
178	2530	11605
179	2539	11569
180	2550	11541
181	2562	11516
182	2572	11485
183	2582	11453
184	2594	11431
185	2605	11402
186	2615	11372
187	2625	11341
188	2636	11313
189	2648	11291
190	2660	11268
191	2670	11238
192	2681	11212
193	2691	11183
194	2703	11161
195	2714	11134
196	2726	11111
197	2738	11091
198	2748	11063
199	2759	11037
200	2770	11011
201	2781	10986
202	2791	10959
203	2802	10934
204	2813	10909
205	2823	10882
206	2834	10859
207	2845	10834
208	2856	10811
209	2868	10791
210	2879	10769
211	2890	10745
212	2903	10728
213	2915	10707
214	2927	10687
215	2936	10659
216	2949	10643
217	2961	10623
218	2974	10607
219	2985	10584
220	2997	10566
221	3010	10548
222	3024	10539
223	3039	10530
224	3051	10510
225	3062	10487
226	3079	10485
227	3089	10461
228	3100	10439
229	3112	10418
230	3123	10398
231	3133	10372
232	3144	10351
233	3161	10348
234	3174	10333
235	3186	10314
236	3197	10294
237	3212	10286
238	3226	10274
239	3239	10258
240	3254	10249
241	3266	10232
242	3278	10214
243	3290	10194
244	3302	10176
245	3312	10154
246	3324	10133
247	3334	10111
248	3346	10093
249	3357	10072
250	3367	10050
251	3379	10031
252	3391	10013
253	3403	9996
254	3415	9979
255	3427	9961
256	3439	9943
257	3450	9923
